negatives,score,condition,seed,n,auc
baseline,within_LOSO,"b: Kwon iso-HR (5 bpm, within subject)",0,98,0.98
baseline,within_LOSO,"b: Kwon iso-HR (5 bpm, within subject)",1,98,0.981
baseline,within_LOSO,"b: Kwon iso-HR (5 bpm, within subject)",2,98,0.98
baseline,within_LOSO,"b: Kwon iso-HR (5 bpm, within subject)",3,98,0.981
baseline,within_LOSO,"b: Kwon iso-HR (5 bpm, within subject)",4,98,0.98
baseline,within_LOSO,"b: Kwon iso-HR (5 bpm, within subject)",5,98,0.982
baseline,within_LOSO,"b: Kwon iso-HR (5 bpm, within subject)",6,98,0.979
baseline,within_LOSO,"f: Kwon-style iso-EDA (0.5 SD, within subject)",0,100,0.88
baseline,within_LOSO,"f: Kwon-style iso-EDA (0.5 SD, within subject)",1,100,0.872
baseline,within_LOSO,"f: Kwon-style iso-EDA (0.5 SD, within subject)",2,100,0.877
baseline,within_LOSO,"f: Kwon-style iso-EDA (0.5 SD, within subject)",3,100,0.888
baseline,within_LOSO,"f: Kwon-style iso-EDA (0.5 SD, within subject)",4,100,0.883
baseline,within_LOSO,"f: Kwon-style iso-EDA (0.5 SD, within subject)",5,100,0.876
baseline,within_LOSO,"f: Kwon-style iso-EDA (0.5 SD, within subject)",6,100,0.874
baseline,within_LOSO,g: Kwon-style iso-HR x EDA (within subject),0,4,0.75
baseline,within_LOSO,g: Kwon-style iso-HR x EDA (within subject),1,4,0.75
baseline,within_LOSO,g: Kwon-style iso-HR x EDA (within subject),2,4,0.75
baseline,within_LOSO,g: Kwon-style iso-HR x EDA (within subject),3,4,0.75
baseline,within_LOSO,g: Kwon-style iso-HR x EDA (within subject),4,4,0.75
baseline,within_LOSO,g: Kwon-style iso-HR x EDA (within subject),5,4,0.75
baseline,within_LOSO,g: Kwon-style iso-HR x EDA (within subject),6,4,0.75
baseline,external,"b: Kwon iso-HR (5 bpm, within subject)",0,98,0.983
baseline,external,"b: Kwon iso-HR (5 bpm, within subject)",1,98,0.985
baseline,external,"b: Kwon iso-HR (5 bpm, within subject)",2,98,0.983
baseline,external,"b: Kwon iso-HR (5 bpm, within subject)",3,98,0.978
baseline,external,"b: Kwon iso-HR (5 bpm, within subject)",4,98,0.975
baseline,external,"b: Kwon iso-HR (5 bpm, within subject)",5,98,0.977
baseline,external,"b: Kwon iso-HR (5 bpm, within subject)",6,98,0.978
baseline,external,"f: Kwon-style iso-EDA (0.5 SD, within subject)",0,100,0.862
baseline,external,"f: Kwon-style iso-EDA (0.5 SD, within subject)",1,100,0.877
baseline,external,"f: Kwon-style iso-EDA (0.5 SD, within subject)",2,100,0.882
baseline,external,"f: Kwon-style iso-EDA (0.5 SD, within subject)",3,100,0.877
baseline,external,"f: Kwon-style iso-EDA (0.5 SD, within subject)",4,100,0.884
baseline,external,"f: Kwon-style iso-EDA (0.5 SD, within subject)",5,100,0.864
baseline,external,"f: Kwon-style iso-EDA (0.5 SD, within subject)",6,100,0.862
baseline,external,g: Kwon-style iso-HR x EDA (within subject),0,4,0.75
baseline,external,g: Kwon-style iso-HR x EDA (within subject),1,4,0.75
baseline,external,g: Kwon-style iso-HR x EDA (within subject),2,4,0.75
baseline,external,g: Kwon-style iso-HR x EDA (within subject),3,4,0.75
